MACD,signal,diff,chgA,chgB,smaA,smaB,close,ret,cumulative,open,trigger,shares,cost,cash,pos,pv,port.ret,total.ret
6.482380625154853,4.3503147947713465,2.1320658303835067,0,0,NA,NA,62.09,-0.03803544931553027,0.5044950468041095,64.004997,HOLD,0,0,10000,0,10000,0,0
7.023226475990597,4.884897131015197,2.1383293449754,0.006263514591893227,0.006263514591893227,NA,NA,70.002502,0.12743601224029644,0.6319310590444059,64.5,HOLD,0,0,10000,0,10000,0,0
7.765590142873407,5.46103573338684,2.304554409486567,0.16622506451116692,0.1599615499192737,NA,NA,75,0.07139027687896049,0.7033213359233664,73,HOLD,0,0,10000,0,10000,0,0
8.30977139592548,6.030782865894568,2.2789885300309125,-0.02556587945565436,-0.19179094396682128,NA,NA,75.639999,0.008533319999999955,0.7118546559233664,75.779999,SELL,0,0,10000,0,10000,0,0
7.002708111041201,6.225167914923895,0.7775401961173065,-1.501448333913606,-1.4758824544579516,NA,NA,55.0975,-0.27158248640378757,0.4402721695195788,70.5,HOLD,0,0,10000,0,10000,0,0
6.157114766917722,6.211557285322661,-0.05444251840493841,-0.8319827145222449,0.6694656193913611,NA,NA,58.334999,0.05875945369572144,0.49903162321530026,55.587502,HOLD,0,0,10000,0,10000,0,0
5.346668690844709,6.038579566427071,-0.6919108755823622,-0.6374683571774238,0.19451435734482114,NA,NA,57.360001,-0.016713774178688245,0.482317849036612,59.125,HOLD,0,0,10000,0,10000,0,0
4.512368480920323,5.733337349325722,-1.2209688684053992,-0.529057992823037,0.10841036435438678,NA,NA,55.625,-0.030247576181178903,0.4520702728554331,56.59,HOLD,0,0,10000,0,10000,0,0
3.816664687037452,5.350002816868068,-1.5333381298306161,-0.3123692614252169,0.21668873139782008,NA,NA,55.7425,0.002112359550561882,0.454182632405995,53.810001,HOLD,0,0,10000,0,10000,0,0
3.2404674503823543,4.928095743570926,-1.6876282931885713,-0.1542901633579552,0.15807909806726173,-0.3819694123572078,-0.01542901633579552,55.897499,0.002780625196214803,0.4569632576022098,56,HOLD,0,0,10000,0,10000,0,0
2.557259399437399,4.45392847474422,-1.8966690753068214,-0.20904078211825006,-0.054750618760294856,-0.4028734905690328,-0.020904078211825005,53.455002,-0.04369599791933454,0.41326725968287525,55.044998,HOLD,0,0,10000,0,10000,0,0
1.724606021637932,3.908063984122963,-2.183457962485031,-0.2867888871782096,-0.07774810505995955,-0.43217873074604307,-0.029305240177010285,50.092499,-0.06290343044042923,0.350363829242446,54.237499,HOLD,0,0,10000,0,10000,0,0
1.4520472439131353,3.4168606360809974,-1.964813392167862,0.21864457031716888,0.5054334574953785,-0.4269367801654429,0.005241950580600197,55.099998,0.09996504666297445,0.4503288759054205,54.432499,BUY,183,54.432499,38.85268299999916,10083.299633999999,10122.152316999998,0.012215231699999718,0.012215231699999822
1.200816973685292,2.9736519036018567,-1.7728349299165647,0.19197846225129744,-0.02666610806587144,-0.40518234599474773,0.02175443417069518,54.834999,-0.0048094194123200484,0.44551945649310043,55.362499,HOLD,183,54.432499,38.85268299999916,10034.804817,10073.6575,-0.004790959025438912,0.007365749999999935
0.8501001867696303,2.5489415602354115,-1.6988413734657812,0.07399355645078343,-0.11798490580051402,-0.24763815695830876,0.15754418903643894,53.077499,-0.03205069813168049,0.41346875836141994,55.290001,HOLD,183,54.432499,38.85268299999916,9713.182317,9752.035,-0.03192708308774639,-0.024796500000000013
0.5097938701061366,2.1411120222095565,-1.63131815210342,0.06752322136236133,-0.006470335088422097,-0.15768756336984815,0.08995059358846062,52.377499,-0.013188262694894592,0.40028049566652535,53.5,HOLD,183,54.432499,38.85268299999916,9585.082317,9623.935,-0.0131357198779537,-0.03760650000000005
0.31194946964207304,1.77527951169606,-1.463330042053987,0.16798811004943293,0.1004648886870716,-0.07714191664716248,0.08054564672268567,53.3125,0.017851195987803825,0.4181316916543292,52.8125,HOLD,183,54.432499,38.85268299999916,9756.1875,9795.040183,0.01777912911922197,-0.020495981700000086
0.10612331577829792,1.4414482725125077,-1.3353249567342098,0.12800508531977717,-0.03998302472965576,-0.011435608832881061,0.06570630781428141,52.720001,-0.011113697538100764,0.4070179941162284,53.397499,HOLD,183,54.432499,38.85268299999916,9647.760183,9686.612866,-0.011069614312372411,-0.03133871340000005
0.008668291346246804,1.1548922762792555,-1.1462239849330087,0.1891009718012011,0.061095886481423944,0.038711414489760745,0.0501470233226418,53.535,0.015459009570200744,0.42247700368642915,52.422501,HOLD,183,54.432499,38.85268299999916,9796.904999999999,9835.757682999998,0.015397003995431424,-0.0164242317000002
-0.2628268792640114,0.8713484451706022,-1.1341753244346136,0.012048660498395147,-0.17705231130280596,0.05534529687539578,0.016633882385635033,51.09,-0.045671056318296266,0.3768059473681329,53.349998,HOLD,183,54.432499,38.85268299999916,9349.470000000001,9388.322683,-0.04549064895868049,-0.06116773169999997
-0.5030544131693233,0.5964678735026171,-1.0995222866719403,0.034653037762673256,0.022604377264278108,0.07971467886348811,0.024369381988092333,50.7075,-0.0074867880211392235,0.36931915934699366,51.200001,HOLD,183,54.432499,38.85268299999916,9279.4725,9318.325182999999,-0.007455804658988763,-0.0681674817000001
-0.7507478096687024,0.3270247368683532,-1.0777725465370556,0.021749740134884732,-0.012903297627788524,0.11056854159479754,0.030853862731309432,49.889999,-0.01612189518315832,0.35319726416383534,51,HOLD,183,54.432499,38.85268299999916,9129.869817,9168.7225,-0.016054675068962854,-0.08312775000000001
