MACD,signal,diff,chgA,chgB,smaA,smaB,close,ret,cumulative,open,trigger,shares,cost,cash,pos,pv,port.ret,total.ret
1.623302270686807,0.5933327575387087,1.0299695131480981,0,0,NA,NA,111.68,-0.009226410493023196,0.04208069472102394,113.279999,HOLD,0,0,10000,0,10000,0,0
1.6004160707652204,0.7947494201840111,0.8056666505812093,-0.2243028625668888,-0.2243028625668888,NA,NA,111.279999,-0.003581670845272278,0.03849902387575166,112,HOLD,0,0,10000,0,10000,0,0
1.5578650016441316,0.9473725364760353,0.6104924651680963,-0.19517418541311304,0.02912867715377576,NA,NA,111.199997,-7.189252401054169e-4,0.03778009863564624,111.760002,HOLD,0,0,10000,0,10000,0,0
1.3982837138524644,1.0375547719513212,0.36072894190114324,-0.24976352326695306,-0.054589337853840014,NA,NA,109.839996,-0.012230225150095975,0.025549873485550267,110.160004,HOLD,0,0,10000,0,10000,0,0
1.1935035172766248,1.068744521016382,0.1247589962602429,-0.23596994564090035,0.013793577626052711,NA,NA,109.040001,-0.007283275938939404,0.018266597546610863,110.480003,HOLD,0,0,10000,0,10000,0,0
1.057752291842263,1.0665460751815583,-0.008793783339295258,-0.13355277959953815,0.1024171660413622,NA,NA,109.519997,0.004402017567846528,0.02266861511445739,109.199997,HOLD,0,0,10000,0,10000,0,0
0.7989418754268343,1.0130252352306135,-0.21408335980377924,-0.20528957646448398,-0.07173679686494583,NA,NA,107.760002,-0.016070078964666168,0.006598536149791223,110.239998,HOLD,0,0,10000,0,10000,0,0
0.6317376360651394,0.9367677153975187,-0.30503007933237924,-0.0909467195286,0.11434285693588397,NA,NA,108.32,0.005196714825599136,0.011795250975390359,107.599998,HOLD,0,0,10000,0,10000,0,0
0.4297199711969739,0.8353581665574098,-0.4056381953604359,-0.10060811602805664,-0.009661396499456631,NA,NA,107.519997,-0.007385552067946777,0.004409698907443582,108,HOLD,0,0,10000,0,10000,0,0
-0.01425055223189986,0.665436422799548,-0.6796869750314478,-0.27404877967101193,-0.1734406636429553,-0.1709656488179546,-0.027404877967101192,104,-0.03273806824976011,-0.02832836934231653,107.279999,HOLD,0,0,10000,0,10000,0,0
-0.5023273264028632,0.4318836729590657,-0.9342109993619289,-0.25452402433048105,0.019524755340530886,-0.1964180512510027,-0.025452402433048103,102.239998,-0.01692309615384613,-0.04525146549616266,102.720001,HOLD,0,0,10000,0,10000,0,0
-0.6173467896262395,0.22203758044200472,-0.8393843700682442,0.09482662929368468,0.34935065362416573,-0.16450510206494537,0.031912949186057346,105.519997,0.03208136799846195,-0.013170097497700706,103.120003,BUY,96,103.120003,100.47971200000029,10129.919712,10230.399424000001,0.02303994240000007,0.02303994240000011
-0.802534644976447,0.01712313535831439,-0.8196577803347613,0.019726589733482847,-0.07510003956020184,-0.14301502455028578,0.02149007751465959,104.239998,-0.012130392687558555,-0.02530049018525926,104.959999,HOLD,96,103.120003,100.47971200000029,10007.039808,10107.51952,-0.012011251849241678,0.010751951999999983
-0.9895332821314327,-0.18420814813963504,-0.8053251339917976,0.014332646342963717,-0.005393943390519129,-0.11660540758929412,0.02640961696099168,103.599998,-0.0061396777847213535,-0.031440167969980615,104.160004,HOLD,96,103.120003,100.47971200000029,9945.599807999999,10046.07952,-0.00607864272519365,0.004607951999999932
-0.9971302054621987,-0.3467925596041478,-0.6503376458580509,0.15498748813374674,0.14065484179078303,-0.07750966421182941,0.03909574337746471,105.199997,0.015444006089652573,-0.01599616188032804,104.480003,HOLD,96,103.120003,100.47971200000029,10099.199712,10199.679424,0.015289536947643123,0.019967942399999994
-0.9853369778100927,-0.47450144324533683,-0.5108355345647558,0.13950211129329504,-0.015485376840451703,-0.05020417512254609,0.02730548908928332,105.279999,7.604753068577441e-4,-0.015235686573470297,105.279999,HOLD,96,103.120003,100.47971200000029,10106.879904000001,10207.359616000002,7.529836655384425e-4,0.020735961600000154
-1.137175731326991,-0.6070363008616677,-0.5301394304653233,-0.01930389590056747,-0.1588060071938625,-0.03160560706615444,0.01859856805639165,103.120003,-0.0205166795261843,-0.0357523660996546,105.279999,SELL,0,0,10207.359616000002,0,10207.359616000002,0,0.020735961600000154
-1.1155432820159916,-0.7087376970925325,-0.4068055849234591,0.12333384554186422,0.1426377414424317,-0.010177550559108017,0.021428056507046423,104.720001,0.01551588395512371,-0.020236482144530887,104.480003,BUY,97,104.480003,72.79932500000177,10157.840097,10230.639422000002,0.0022806883342789686,0.0230639422000002
-0.8497567615356729,-0.7369415099811607,-0.11281525155451222,0.29399033336894687,0.17065648782708265,0.029282294380592332,0.03945984493970035,107.68,0.02826584197607107,0.008029359831540184,105.199997,HOLD,97,104.480003,72.79932500000177,10444.960000000001,10517.759325000003,0.028064707508171693,0.051775932500000274
-0.6190724077515455,-0.7133676895352377,0.09429528178369218,0.2071105333382044,-0.08687980003074247,0.07739822568151397,0.048115931300921636,107.839996,0.0014858469539376085,0.009515206785477792,108.639999,HOLD,97,104.480003,72.79932500000177,10460.479612,10533.278937000001,0.0014755625718787524,0.053327893700000094
-0.5078629635303429,-0.6722667443342587,0.16440378080391582,0.07010849902022365,-0.13700203431798075,0.10986147801658444,0.03246325233507047,106.879997,-0.008902068208533676,6.131385769441167e-4,108.32,HOLD,97,104.480003,72.79932500000177,10367.359709,10440.159034000002,-0.008840542774662397,0.04401590340000021
